p.products_id;products_quantity;products_model;products_price;products_status;products_ordered;products_name;products_description;products_viewed;Brand;Gender;Gamme;Prix_achat;Item_size;Prix_conseille;Type
134034;22;126309;38.93;1;0;JAMES BOND  de  A.B.R. Barlach; Eau de Parfum 1.7 OZ /  50 ml;0;A.B.R. Barlach;Femmes;JAMES BOND;15.5;1.7 OZ;38.00;Fragrances
134035;7;156999;47.03;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE BASIC CONDITIONER 33.8 OZ /  981 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;21.5;33.8 OZ;31.50;Conditioner
134036;22;156976;33.53;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE BASIC CONDITIONER 6.76 OZ /  197 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;11.5;6.76 OZ;15.76;Conditioner
134037;18;156971;45.68;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE BASIC  Shampoing  33.8 OZ /  981 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;20.5;33.8 OZ;29.50;Shampoo
134038;24;156964;30.49;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE BASIC  Shampoing  8.45 OZ /  256 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;9.25;8.45 OZ;14.76;Shampoo
134039;9;156979;33.53;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE COLOR PROTECT CONDITIONER 6.76 OZ /  197 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;11.5;6.76 OZ;17.76;Conditioner
134040;24;156966;32.18;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE COLOR PROTECT  Shampoing  8.45 OZ /  256 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;10.5;8.45 OZ;16.76;Shampoo
134041;20;156997;34.20;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE CURL CONDITIONER 6.76 OZ /  197 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;12;6.76 OZ;17.76;Conditioner
134044;17;156967;33.86;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE CURL  Shampoing  8.45 OZ /  256 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;11.75;8.45 OZ;16.76;Shampoo
134045;4;156963;34.20;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE DETOX  Shampoing  8.45 OZ /  256 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;12;8.45 OZ;16.76;Shampoo
134048;4;156977;32.18;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE GENTLE CONDITIONER 6.76 OZ /  197 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;10.5;6.76 OZ;15.76;Conditioner
134049;7;156965;30.49;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE GENTLE  Shampoing  8.45 OZ /  256 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;9.25;8.45 OZ;14.76;Shampoo
134050;11;156974;45.68;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE MOISTURE  Shampoing  33.8 OZ /  981 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;20.5;33.8 OZ;29.50;Shampoo
134051;9;156968;30.49;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE MOISTURE  Shampoing  8.45 OZ /  256 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;9.25;8.45 OZ;14.76;Shampoo
134053;21;157003;47.03;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE RECOVERY CONDITIONER 33.8 OZ /  981 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;21.5;33.8 OZ;31.50;Conditioner
134054;23;156980;34.88;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE RECOVERY CONDITIONER 6.76 OZ /  197 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;12.5;6.76 OZ;18.76;Conditioner
134055;21;156996;34.20;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE SHINE CONDITIONER 6.76 OZ /  197 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;12;6.76 OZ;17.76;Conditioner
134057;23;156969;33.86;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE SHINE  Shampoing  8.45 OZ /  256 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;11.75;8.45 OZ;16.76;Shampoo
134061;24;157004;47.03;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE VOLUME CONDITIONER 33.8 OZ /  981 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;21.5;33.8 OZ;31.50;Conditioner
134062;22;156998;32.18;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE VOLUME CONDITIONER 6.76 OZ /  197 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;10.5;6.76 OZ;15.76;Conditioner
134064;3;156970;30.49;1;0;ABBA  de  ABBA Pure & Natural Hair Care;PURE VOLUME  Shampoing  8.45 OZ /  256 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;9.25;8.45 OZ;14.76;Shampoo
134065;2;152770;31.50;1;0;ABBA  de  ABBA Pure & Natural Hair Care;TRUE SHINE  Shampoing  10.1 OZ /  303 ml;0;ABBA Pure & Natural Hair Care;Unisex;ABBA;10;10.1 OZ;12.00;Shampoo
134146;5;147795;119.25;1;0;IRIS NOBILE  de  Acqua di Parma; Eau de Parfum  Vaporisateur 1.6 OZ /  50 ml;0;Acqua di Parma;Femmes;IRIS NOBILE;75;1.6 OZ;95.00;Fragrances
134147;5;147796;173.25;1;0;IRIS NOBILE  de  Acqua di Parma; Eau de Parfum  Vaporisateur 3.3 OZ /  100 ml;0;Acqua di Parma;Femmes;IRIS NOBILE;115;3.3 OZ;145.00;Fragrances
134148;24;134492;57.15;1;0;ALEXANDRA DE MARKOFF  de  Adem; Eau de  Cologne Vaporisateur  1.7 OZ /  50 ml;0;Adem;Femmes;ALEXANDRA DE MARKOFF;29;1.7 OZ;55.00;Fragrances
134150;24;134494;57.83;1;0;ENIGMA  de  Adem; Eau de  Cologne Vaporisateur  1.7 OZ /  50 ml;0;Adem;Femmes;ENIGMA;29.5;1.7 OZ;55.00;Fragrances
134152;24;140377;27.45;1;0;ADIDAS FLORAL DREAM  de  Adidas;Eau de Toilette  Vaporisateur 1.7 OZ /  50 ml;0;Adidas;Femmes;ADIDAS FLORAL DREAM;7;1.7 OZ;25.00;Fragrances
134153;24;142087;27.45;1;0;ADIDAS FRUITY RHYTHM  de  Adidas;Eau de Toilette  Vaporisateur 1.7 OZ /  50 ml;0;Adidas;Femmes;ADIDAS FRUITY RHYTHM;7;1.7 OZ;25.00;Fragrances
134154;1;161242;23.40;1;0;ADIDAS INTENSIVE  de  Adidas; Gel douche FOR DRY SKIN 8.4 OZ /  250 ml;0;Adidas;Femmes;ADIDAS INTENSIVE;4;8.4 OZ;12.00;Bath & Body
134156;24;155354;27.45;1;0;ADIDAS PURE  légèreNESS  de  Adidas;Eau de Toilette  Vaporisateur 1.7 OZ /  50 ml;0;Adidas;Femmes;ADIDAS PURE LIGHTNESS;7;1.7 OZ;25.00;Fragrances
134157;24;161244;22.05;1;0;ADIDAS PURE  de  Adidas; Gel douche huile relaxant 8.4 OZ /  250 ml;0;Adidas;Femmes;ADIDAS PURE;3;8.4 OZ;12.00;Bath & Body
134158;3;161228;23.40;1;0;ADIDAS SENSITIVE  de  Adidas;SOOTHING  Gel douche 8.4 OZ /  250 ml;0;Adidas;Femmes;ADIDAS SENSITIVE;4;8.4 OZ;12.00;Bath & Body
134159;24;146996;27.45;1;0;ADIDAS TROPICAL PASSION  de  Adidas;Eau de Toilette  Vaporisateur 1.7 OZ /  50 ml;0;Adidas;Femmes;ADIDAS TROPICAL PASSION;7;1.7 OZ;25.00;Fragrances
134161;24;146810;27.45;1;0;ADIDAS BLUE CHALLENGE  de  Adidas;Eau de Toilette  Vaporisateur 3.4 OZ /  100 ml;0;Adidas;Hommes;ADIDAS BLUE CHALLENGE;7;3.4 OZ;27.50;Fragrances
134162;16;175695;28.80;1;0;ADIDAS DARE  de  Adidas;Eau de Toilette  Vaporisateur 1 OZ /  30 ml;0;Adidas;Hommes;ADIDAS DARE;8;1 OZ;18.00;Fragrances
134163;1;177417;42.98;1;0;ADIDAS DARE  de  Adidas;Eau de Toilette  Vaporisateur 2.5 OZ /  75 ml &  Baume après-Rasage 2.5 OZ & SCARF;0;Adidas;Hommes;ADIDAS DARE;18.5;2.5 OZ;38.00;Gift Sets
134164;24;180192;23.40;1;0;ADIDAS DEEP ENERGY  de  Adidas;DEODORANT COOLING  Vaporisateur pour le corps 4 OZ /  120 ml;0;Adidas;Hommes;ADIDAS DEEP ENERGY;4;4 OZ;9.95;Bath & Body
134165;24;158523;27.45;1;0;ADIDAS DEEP ENERGY  de  Adidas;Eau de Toilette  Vaporisateur 3.4 OZ /  100 ml;0;Adidas;Hommes;ADIDAS DEEP ENERGY;7;3.4 OZ;28.00;Fragrances
134166;24;133146;24.08;1;0;ADIDAS DYNAMIC PULSE  de  Adidas;DEODORANT  Vaporisateur pour le corps 4 OZ /  120 ml;0;Adidas;Hommes;ADIDAS DYNAMIC PULSE;4.5;4 OZ;12.00;Bath & Body
134167;0;135227;23.99;0;0;ADIDAS DYNAMIC PULSE  de  Adidas;Eau de Toilette  Vaporisateur 1.7 OZ /  50 ml;0;Adidas;Hommes;ADIDAS DYNAMIC PULSE;4.44;1.7 OZ;18.50;Fragrances
134168;24;128803;27.45;1;0;ADIDAS DYNAMIC PULSE  de  Adidas;Eau de Toilette  Vaporisateur 3.4 OZ /  100 ml;0;Adidas;Hommes;ADIDAS DYNAMIC PULSE;7;3.4 OZ;27.50;Fragrances
134169;24;167846;27.45;1;0;ADIDAS FAIR PLAY  de  Adidas;Eau de Toilette  Vaporisateur 3.4 OZ /  100 ml;0;Adidas;Hommes;ADIDAS FAIR PLAY;7;3.4 OZ;27.50;Fragrances
134170;19;178628;23.40;1;0;ADIDAS FRESH  de  Adidas; Gel douche revitalisant 8.4 OZ /  250 ml;0;Adidas;Hommes;ADIDAS FRESH;4;8.4 OZ;12.00;Bath & Body
134171;11;181043;28.13;1;0;ADIDAS FROZEN 3  de  Adidas;Eau de Toilette  Vaporisateur 1.7 OZ /  50 ml;0;Adidas;Hommes;ADIDAS FROZEN 3;7.5;1.7 OZ;22.00;Fragrances
134172;24;137468;27.45;1;0;ADIDAS GAME SPIRIT  de  Adidas;Eau de Toilette  Vaporisateur 3.4 OZ /  100 ml;0;Adidas;Hommes;ADIDAS GAME SPIRIT;7;3.4 OZ;27.50;Fragrances
134174;24;127840;27.45;1;0;ADIDAS ICE DIVE  de  Adidas;Eau de Toilette  Vaporisateur 3.4 OZ /  100 ml;0;Adidas;Hommes;ADIDAS ICE DIVE;7;3.4 OZ;30.00;Fragrances
