"p.products_id";"products_quantity";"products_model";"products_price";"products_status";"products_ordered";"products_name";"products_description";"products_viewed";"m.manufacturers_name as marque";"p.gender as Gender";"p.gamme";"p.item_size";"p.type as Type";"products_image";"pd.products_id";"EAN";"frais_port"
"250241";"50";"134494";"29.95";"1";"0";"ENIGMA de Adem 134494";"Eau de Cologne Vaporisateur 50 ml";"78";"Adem";"Femmes";"ENIGMA";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/134494.jpg";"http://www.parfumrama.com/product_info.php?products_id=250241";"134494";"14"
"2502411";"50";"1344941";"29.95";"1";"0";"ENIGMA de Adem 1344941";"Eau de Cologne spray 50 ml";"78";"Adem";"Femmes";"ENIGMA";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/134494.jpg";"http://www.parfumrama.com/product_info.php?products_id=250241";"1344941";"14"
"269723";"50";"186388";"38.5";"1";"0";"ENIGMA de Adem 186388";"ESSENCE Soin hydratant 50 ml";"38";"Adem";"Femmes";"ENIGMA";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/186388.jpg";"http://www.parfumrama.com/product_info.php?products_id=269723";"186388";"14"
"242672";"50";"158523";"12.64";"1";"0";"ADIDAS DEEP ENERGY de Adidas 158523";"Eau de Toilette Vaporisateur 100 ml";"92";"Adidas";"Hommes";"ADIDAS DEEP ENERGY";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/158523.jpg";"http://www.parfumrama.com/product_info.php?products_id=242672";"158523";"14"
"2426721";"50";"1585231";"12.64";"1";"0";"ADIDAS DEEP ENERGY de Adidas 1585231";"Eau de Toilette spray 100 ml";"92";"Adidas";"Hommes";"ADIDAS DEEP ENERGY";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/158523.jpg";"http://www.parfumrama.com/product_info.php?products_id=242672";"1585231";"14"
"242674";"50";"128803";"12.22";"1";"0";"ADIDAS DYNAMIC PULSE de Adidas 128803";"Eau de Toilette Vaporisateur 100 ml";"88";"Adidas";"Hommes";"ADIDAS DYNAMIC PULSE";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/128803.jpg";"http://www.parfumrama.com/product_info.php?products_id=242674";"128803";"14"
"2426741";"50";"1288031";"12.22";"1";"0";"ADIDAS DYNAMIC PULSE de Adidas 1288031";"Eau de Toilette spray 100 ml";"88";"Adidas";"Hommes";"ADIDAS DYNAMIC PULSE";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/128803.jpg";"http://www.parfumrama.com/product_info.php?products_id=242674";"1288031";"14"
"242675";"50";"167846";"12.43";"1";"0";"ADIDAS FAIR PLAY de Adidas 167846";"Eau de Toilette Vaporisateur 100 ml";"109";"Adidas";"Hommes";"ADIDAS FAIR PLAY";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/167846.jpg";"http://www.parfumrama.com/product_info.php?products_id=242675";"167846";"14"
"2426751";"50";"1678461";"12.43";"1";"0";"ADIDAS FAIR PLAY de Adidas 1678461";"Eau de Toilette spray 100 ml";"109";"Adidas";"Hommes";"ADIDAS FAIR PLAY";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/167846.jpg";"http://www.parfumrama.com/product_info.php?products_id=242675";"1678461";"14"
"242676";"50";"186214";"12.43";"1";"0";"ADIDAS FRESH IMPACT de Adidas 186214";"Eau de Toilette Vaporisateur 100 ml";"91";"Adidas";"Hommes";"ADIDAS FRESH IMPACT";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/186214.jpg";"http://www.parfumrama.com/product_info.php?products_id=242676";"186214";"14"
